127.0.0.1 - - [25/Oct/2024:18:12:08 -0500] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:12:09 -0500] "GET /RAproject/ControladorNotas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:12:15 -0500] "GET /RAproject/ControladorNotas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:12:15 -0500] "GET /RAproject/ControladorNotas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:12:16 -0500] "GET /RAproject/ControladorNotas HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:14:58 -0500] "GET /RAproject/ControladorNotas HTTP/1.1" 200 5108
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:15:00 -0500] "GET /RAproject/insertaNotas.jsp HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:15:27 -0500] "GET /RAproject/ControladorNotas?instruccion=insertarBBDD&idNota=&idAlumno=&registro=&nota=&envio=Enviar HTTP/1.1" 500 1507
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:16:46 -0500] "GET /RAproject/ControladorNotas?instruccion=insertarBBDD&idNota=1&idAlumno=Aimar&registro=RA&nota=13&envio=Enviar HTTP/1.1" 500 1517
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:17:03 -0500] "GET /RAproject/ControladorNotas?instruccion=insertarBBDD&idNota=&idAlumno=&registro=&nota=&envio=Enviar HTTP/1.1" 500 1507
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:17:08 -0500] "GET /RAproject/ControladorNotas HTTP/1.1" 200 5108
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:17:09 -0500] "GET /RAproject/ControladorNotas HTTP/1.1" 200 5108
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:17:10 -0500] "GET /RAproject/insertaNotas.jsp HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:17:16 -0500] "GET /RAproject/ControladorNotas?instruccion=insertarBBDD&idNota=1&idAlumno=Aimar&registro=RA&nota=13&envio=Enviar HTTP/1.1" 500 1517
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:17:30 -0500] "GET /RAproject/ControladorNotas?instruccion=insertarBBDD&idNota=1&idAlumno=1&registro=RA&nota=13&envio=Enviar HTTP/1.1" 200 5108
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:17:43 -0500] "GET /RAproject/insertaNotas.jsp HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:18:03 -0500] "GET /RAproject/ControladorNotas?instruccion=insertarBBDD&idNota=1&idAlumno=1&registro=rarara&nota=13&envio=Enviar HTTP/1.1" 200 5108
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:18:06 -0500] "GET /RAproject/ControladorNotas?instruccion=cargar&CNota=1 HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:18:15 -0500] "GET /RAproject/ControladorNotas?instruccion=actualizarBBDD&idNota=1&idAlumno=1&registro=antes+de+RA&nota=17&envio=Enviar HTTP/1.1" 200 5108
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:32:12 -0500] "GET /RAproject/insertaNotas.jsp HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:32:23 -0500] "GET /RAproject/ControladorNotas?instruccion=insertarBBDD&idNota=1&idAlumno=1&registro=RA&nota=13&envio=Enviar HTTP/1.1" 200 5108
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:32:52 -0500] "GET /RAproject/ControladorNotas?instruccion=eliminar&CNota=5 HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:32:55 -0500] "GET /RAproject/insertaNotas.jsp HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [25/Oct/2024:18:33:13 -0500] "GET /RAproject/ControladorNotas?instruccion=insertarBBDD&idNota=6&idAlumno=6&registro=RA&nota=17&envio=Enviar HTTP/1.1" 200 4498
0:0:0:0:0:0:0:1 - - [25/Oct/2024:19:06:14 -0500] "GET /RAproject/insertaNotas.jsp HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [25/Oct/2024:19:06:15 -0500] "GET /RAproject/ControladorNotas?instruccion=insertarBBDD&idNota=&idAlumno=&registro=&nota=&envio=Enviar HTTP/1.1" 500 1507
0:0:0:0:0:0:0:1 - - [25/Oct/2024:19:06:27 -0500] "GET /RAproject/ControladorNotas?instruccion=insertarBBDD&idNota=1&idAlumno=1&registro=RA&nota=13&envio=Enviar HTTP/1.1" 200 4498
